epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.246,2.70777,4.39474,1.68738,0.00187,0.11638,0.04763,0.01745,2.35319,3.94681,1.42012,0.000271759,0.000271759,0.000271759
2,91.1675,2.08394,3.08536,1.33287,0.9676,0.09528,0.20711,0.12178,1.8756,2.74001,1.24443,0.000543986,0.000543986,0.000543986
3,124.561,1.97953,2.48036,1.3061,0.64755,0.27354,0.31584,0.18085,1.82217,2.21535,1.22202,0.000810716,0.000810716,0.000810716
4,164.642,1.88202,2.25924,1.26438,0.49929,0.34795,0.33943,0.19268,1.7264,1.90315,1.23822,0.00080826,0.00080826,0.00080826
5,199.039,1.81477,2.07065,1.23742,0.33676,0.41824,0.39302,0.20152,1.77146,1.8392,1.27237,0.000800013,0.000800013,0.000800013
6,232.107,1.806,1.93317,1.21699,0.43984,0.45154,0.45176,0.26288,1.60117,1.60228,1.16867,0.000791767,0.000791767,0.000791767
7,266.362,1.68853,1.8324,1.18611,0.53276,0.50817,0.51515,0.29273,1.58261,1.49706,1.15447,0.00078352,0.00078352,0.00078352
8,300.964,1.68001,1.766,1.17224,0.60308,0.51582,0.54686,0.29894,1.56434,1.47431,1.14889,0.000775273,0.000775273,0.000775273
9,334.854,1.66646,1.68969,1.16202,0.62269,0.51126,0.56164,0.3122,1.52135,1.41136,1.13206,0.000767026,0.000767026,0.000767026
10,368.816,1.64377,1.66354,1.1408,0.63085,0.57306,0.60217,0.33978,1.51965,1.30105,1.13569,0.00075878,0.00075878,0.00075878
11,403.81,1.58685,1.59878,1.13195,0.70015,0.56121,0.60997,0.34922,1.47775,1.283,1.11352,0.000750533,0.000750533,0.000750533
12,438.511,1.55879,1.54577,1.1229,0.70856,0.58397,0.62374,0.34792,1.48126,1.27366,1.10451,0.000742286,0.000742286,0.000742286
13,472.435,1.5508,1.50682,1.11239,0.73391,0.6073,0.65437,0.37206,1.4499,1.22704,1.09538,0.00073404,0.00073404,0.00073404
14,506.223,1.55193,1.48928,1.12096,0.74252,0.59466,0.661,0.3876,1.44456,1.23185,1.09783,0.000725793,0.000725793,0.000725793
15,540.016,1.55674,1.46195,1.11198,0.69378,0.59652,0.65345,0.38415,1.41282,1.23594,1.09173,0.000717546,0.000717546,0.000717546
16,573.909,1.52022,1.40264,1.10844,0.69528,0.61828,0.66071,0.39395,1.40271,1.16349,1.09427,0.000709299,0.000709299,0.000709299
17,607.879,1.53659,1.42204,1.10434,0.72824,0.61621,0.67851,0.394,1.39681,1.15837,1.08626,0.000701053,0.000701053,0.000701053
18,641.711,1.48914,1.36836,1.08891,0.77601,0.64988,0.69445,0.40439,1.41816,1.16082,1.0701,0.000692806,0.000692806,0.000692806
19,675.595,1.47839,1.33149,1.08527,0.75667,0.62441,0.71852,0.42181,1.37373,1.12932,1.06238,0.000684559,0.000684559,0.000684559
20,709.477,1.45017,1.30255,1.07826,0.79872,0.66925,0.74024,0.44742,1.33637,1.06607,1.05756,0.000676313,0.000676313,0.000676313
21,743.183,1.44966,1.26808,1.07271,0.77321,0.709,0.74357,0.43891,1.36804,1.07735,1.04638,0.000668066,0.000668066,0.000668066
22,776.924,1.44883,1.25219,1.0739,0.76795,0.68804,0.73673,0.44777,1.3275,1.08586,1.04325,0.000659819,0.000659819,0.000659819
23,810.84,1.44099,1.26245,1.06769,0.81719,0.69894,0.75645,0.44706,1.33939,1.03857,1.03474,0.000651573,0.000651573,0.000651573
24,844.458,1.42348,1.23533,1.06816,0.7608,0.67806,0.72273,0.41832,1.35134,1.09531,1.03302,0.000643326,0.000643326,0.000643326
25,878.4,1.41239,1.22533,1.06238,0.78708,0.69697,0.7612,0.46181,1.36232,1.02935,1.05088,0.000635079,0.000635079,0.000635079
26,920.581,1.41387,1.20032,1.06008,0.80385,0.67766,0.76761,0.46684,1.34575,1.04739,1.05949,0.000626832,0.000626832,0.000626832
27,959.737,1.40735,1.18514,1.05285,0.8495,0.71308,0.7871,0.47882,1.31519,1.01231,1.04749,0.000618586,0.000618586,0.000618586
28,1003.32,1.40197,1.17451,1.04284,0.79886,0.73301,0.78736,0.47652,1.32258,0.97111,1.02675,0.000610339,0.000610339,0.000610339
29,1049.42,1.38196,1.16229,1.04751,0.78233,0.72851,0.78168,0.47079,1.30021,0.99633,1.04236,0.000602092,0.000602092,0.000602092
30,1094.4,1.37848,1.13629,1.0422,0.81959,0.7313,0.79532,0.47109,1.31809,0.99776,1.0495,0.000593846,0.000593846,0.000593846
31,1128.12,1.39001,1.13565,1.04245,0.8015,0.75552,0.79636,0.47883,1.2995,0.98754,1.03666,0.000585599,0.000585599,0.000585599
32,1160.75,1.36206,1.12408,1.04702,0.77055,0.76537,0.79234,0.48701,1.30081,0.97299,1.02131,0.000577352,0.000577352,0.000577352
33,1193.61,1.35806,1.1058,1.04651,0.78008,0.76178,0.79664,0.48493,1.30034,0.97112,1.02202,0.000569106,0.000569106,0.000569106
34,1229.26,1.365,1.10756,1.03713,0.82517,0.75369,0.81773,0.49111,1.30288,0.97191,1.02322,0.000560859,0.000560859,0.000560859
